artists,album_name,track_name,popularity,duration_ms,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_min,tempo_category_Moderate,tempo_category_Fast,tempo_category_Extremely Fast,track_genre_death-metal,track_genre_heavy-metal,track_genre_metal,track_genre_metalcore,key_category_key_scale_A#,key_category_key_scale_B,key_category_key_scale_C,key_category_key_scale_C#,key_category_key_scale_D,key_category_key_scale_D#,key_category_key_scale_E,key_category_key_scale_F,key_category_key_scale_F#,key_category_key_scale_G,key_category_key_scale_G#,tempo_category_plot,genre_for_plot,key_label
Sulphur Aeon,The Scythe of Cosmic Chaos,Veneration of the Lunar Orb,17,312807,0.377,0.971,3,-7.267,0.0845,1.71e-06,0.636,0.118,0.059,95.046,4,5.21,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Moderate,black-metal,key_scale_D#
Winds of Plague,Resistance,Open the Gates,18,145226,0.451,0.754,9,-6.201,0.0541,0.0951,0.000163,0.0498,0.263,132.976,4,2.42,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Fast,black-metal,key_scale_A
Thorns,Thorns,Shifting Channels,17,377026,0.606,0.674,11,-6.982,0.0714,0.151,0.0431,0.11,0.102,112.505,4,6.28,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Moderate,black-metal,key_scale_B
Primordial,Where Greater Men Have Fallen,Come the Flood,17,436633,0.211,0.969,4,-4.581,0.0972,0.00014,0.00545,0.347,0.0503,101.464,3,7.28,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Moderate,black-metal,key_scale_E
Devil Master,Manifestations,The Devil Master (Devil is Your Master),18,135826,0.0916,0.998,11,-5.353,0.17,0.00229,0.16,0.522,0.0615,173.833,4,2.26,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Fast,black-metal,key_scale_B
Bucovina,Duh,Duh,17,305146,0.17,0.828,7,-4.813,0.0355,4.34e-06,0.37,0.26,0.111,86.008,4,5.09,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Moderate,black-metal,key_scale_G
Theatres Des Vampires,Moonlight Waltz,Sangue,17,238960,0.512,0.937,5,-3.76,0.0426,0.321,7.69e-06,0.196,0.67,149.998,4,3.98,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Fast,black-metal,key_scale_F
Witchery,Witchkrieg,The God Who Fell From Earth,16,279280,0.335,0.969,4,-4.732,0.067,4.33e-06,0.783,0.885,0.0837,75.03,4,4.65,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Moderate,black-metal,key_scale_E
Panopticon;Amebix,Collapse,Beginning of the End,16,414236,0.13,0.961,5,-8.269,0.127,4.81e-05,0.881,0.707,0.0349,145.095,4,6.9,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Fast,black-metal,key_scale_F
Theatres Des Vampires,Suicide Vampire,Lilith Mater Inferorum,17,225266,0.413,0.723,0,-5.785,0.0335,0.000265,0.000631,0.27,0.195,149.799,4,3.75,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Fast,black-metal,key_scale_C
Truchło Strzygi,Nad Którymi Nie Czuwa Żaden Stróż,Jasna Pustka,18,211062,0.0888,0.933,9,-5.682,0.0701,6.54e-06,0.0671,0.469,0.058,166.557,4,3.52,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Fast,black-metal,key_scale_A
Carach Angren,Lammendam,Phobic Shadows and Moonlit Meadows,17,414866,0.199,0.942,5,-5.304,0.0804,1.36e-05,0.236,0.288,0.152,151.757,4,6.91,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Fast,black-metal,key_scale_F
Belphegor,Blood Magick Necromance,Sado Messiah,17,230760,0.341,0.924,5,-4.684,0.0902,1.06e-06,1.43e-06,0.447,0.0305,123.909,4,3.85,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Fast,black-metal,key_scale_F
Therion,Cover Songs 1993-2007,Crying Days - 2000,18,271760,0.467,0.643,6,-4.501,0.0328,0.000542,0.0405,0.334,0.153,120.064,4,4.53,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Fast,black-metal,key_scale_F#
Therion,Beloved Antichrist,Temple of New Jerusalem,18,241933,0.558,0.756,9,-8.08,0.0325,0.000235,0.818,0.118,0.355,124.998,4,4.03,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Fast,black-metal,key_scale_A
Dark Funeral,Diabolis Interium,Heart of Ice,16,274240,0.215,0.941,8,-5.128,0.13,0.0,0.252,0.0602,0.0328,126.529,4,4.57,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Fast,black-metal,key_scale_G#
Therion,Beloved Antichrist,Garden of Peace,18,205413,0.388,0.578,0,-8.897,0.0287,0.000513,0.351,0.122,0.22,88.006,3,3.42,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Moderate,black-metal,key_scale_C
Arcturus,Arcturian,Demon,17,207595,0.415,0.649,6,-7.137,0.0418,6.69e-05,0.0263,0.194,0.243,95.041,4,3.46,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Moderate,black-metal,key_scale_F#
Carnifex,Until I Feel Nothing,A Grave To Blame,18,218080,0.453,0.974,5,-3.163,0.129,0.00162,0.00664,0.0813,0.122,110.008,3,3.63,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Moderate,black-metal,key_scale_F
Therion,Sitra Ahra,Din,18,157853,0.282,0.969,8,-4.347,0.0709,0.00011,0.678,0.087,0.155,184.998,4,2.63,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Extremely Fast,black-metal,key_scale_G#
Primordial,Exile Amongst the Ruins,Upon Our Spiritual Deathbed,16,508393,0.115,0.901,7,-6.318,0.0751,4.28e-05,0.000649,0.126,0.0795,160.184,4,8.47,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Fast,black-metal,key_scale_G
Primordial,Spirit The Earth Aflame,Gods To The Godless,16,467440,0.198,0.956,7,-5.339,0.064,5.21e-06,0.621,0.169,0.216,114.183,4,7.79,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Moderate,black-metal,key_scale_G
Bucovina,Septentrion,Stele Calauza,17,310520,0.379,0.955,5,-3.005,0.0371,9.81e-06,0.0112,0.363,0.315,161.958,4,5.18,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Fast,black-metal,key_scale_F
Unleashed,Where No Life Dwells,The Dark One,18,219506,0.244,0.949,6,-10.463,0.0612,2.13e-05,0.214,0.203,0.329,110.752,4,3.66,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Moderate,black-metal,key_scale_F#
Moonspell,The Antidote,The Southern Deathstyle,18,247480,0.584,0.93,8,-4.72,0.176,0.000123,0.815,0.316,0.503,137.008,4,4.12,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Fast,black-metal,key_scale_G#
Belphegor,Totenritual,Stigma Diabolicum - Live,17,321085,0.449,0.974,6,-6.925,0.0902,2.68e-06,0.906,0.161,0.14,113.533,4,5.35,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Moderate,black-metal,key_scale_F#
Darkthrone,Ravishing Grimness,The Beast,17,329586,0.19,0.992,11,-5.929,0.104,1.83e-06,0.815,0.256,0.0731,131.051,4,5.49,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Fast,black-metal,key_scale_B
Moonspell,Night Eternal (Extended Version),At Tragic Heights,17,400293,0.329,0.882,4,-7.455,0.0724,6.06e-06,0.928,0.676,0.073,134.722,4,6.67,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Fast,black-metal,key_scale_E
Morbid Angel,Formulas Fatal to the Flesh,Covenant of Death,17,368000,0.287,0.963,1,-7.56,0.11,0.000112,0.56,0.363,0.22,100.586,4,6.13,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Moderate,black-metal,key_scale_C#
Midnight,Rebirth by Blasphemy,Warning from the Reaper,17,245506,0.147,0.966,11,-5.771,0.0796,4.66e-05,0.000329,0.153,0.249,146.926,4,4.09,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Fast,black-metal,key_scale_B
Sarcófago,Inri,The Black Vomit,17,142800,0.258,0.923,11,-8.002,0.045,0.0008,0.243,0.771,0.578,132.494,4,2.38,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Fast,black-metal,key_scale_B
Midnight,Rebirth by Blasphemy,Devil's Excrement,17,135000,0.101,0.991,10,-5.9,0.143,1.24e-05,0.0149,0.532,0.0931,160.587,4,2.25,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Fast,black-metal,key_scale_A#
Sadness,I Want to Be There,In the Distant Travels,35,507141,0.152,0.399,4,-8.259,0.0602,0.938,0.87,0.2,0.0365,135.296,5,8.45,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Fast,black-metal,key_scale_E
Yoth Iria,As The Flame Withers,The Great Hunter,34,263454,0.145,0.971,6,-4.928,0.12,6.89e-06,0.246,0.307,0.0887,199.903,4,4.39,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Extremely Fast,black-metal,key_scale_F#
White Ward,Futility Report,Rain as Cure,38,192600,0.329,0.313,6,-10.609,0.029,0.0101,0.859,0.0959,0.421,200.081,3,3.21,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Extremely Fast,black-metal,key_scale_F#
Les Discrets,Ariettes oubliées,Linceul d'hiver,39,170373,0.517,0.381,8,-9.72,0.0343,0.357,0.909,0.106,0.305,109.954,3,2.84,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Moderate,black-metal,key_scale_G#
Lantlôs,Melting Sun,Melting Sun IV: Jade Fields,36,389026,0.443,0.883,6,-6.28,0.0387,5.65e-05,0.698,0.175,0.0847,118.488,4,6.48,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Moderate,black-metal,key_scale_F#
Belzebubs,Cathedrals of Mourning,Cathedrals of Mourning,17,378733,0.25,0.939,0,-7.652,0.131,0.00028,0.219,0.135,0.0375,99.516,4,6.31,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Moderate,black-metal,key_scale_C
Lantlôs,Melting Sun,Melting Sun I: Azure Chimes,32,431400,0.329,0.582,11,-5.489,0.0503,4.98e-05,0.805,0.0893,0.0872,124.931,4,7.19,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Fast,black-metal,key_scale_B
Avslut,Tyranni,Tyranni,17,233439,0.252,0.985,4,-6.876,0.167,2.61e-06,0.27,0.321,0.0397,119.967,1,3.89,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Moderate,black-metal,key_scale_E
Anaal Nathrakh,A New Kind of Horror,Forward!,44,209100,0.441,0.997,11,-4.928,0.19,0.000562,0.019,0.147,0.0314,150.036,4,3.48,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Fast,black-metal,key_scale_B
Xanthochroid,Blessed He With Boils,Long Live Our Lifeless King,16,535133,0.271,0.815,9,-7.045,0.06,0.00013,0.105,0.412,0.11,126.994,4,8.92,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Fast,black-metal,key_scale_A
Xanthochroid,Of Erthe and Axen: Act I,Open the Gates O Forest Keeper,17,201986,0.174,0.324,0,-13.455,0.0396,0.632,0.847,0.558,0.0493,119.282,3,3.37,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Moderate,black-metal,key_scale_C
Abstract Void,Wishdream,Midnight Heart,17,360016,0.395,0.935,0,-6.512,0.0481,0.0117,0.82,0.167,0.189,150.029,4,6.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Fast,black-metal,key_scale_C
Belphegor,Bondage Goat Zombie,Sexdictator Lucifer,42,225493,0.556,0.909,7,-1.678,0.0772,1.65e-05,0.0875,0.613,0.297,123.985,4,3.76,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Fast,black-metal,key_scale_G
CHTHONIC,Takasago Army,Oceanquake,17,224586,0.401,0.953,11,-3.185,0.0652,0.000214,0.00306,0.134,0.373,179.931,4,3.74,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Extremely Fast,black-metal,key_scale_B
Odraza,Esperalem Tkane,Cicha 8,18,74451,0.518,0.848,2,-10.933,0.0561,0.00473,0.278,0.411,0.367,119.923,3,1.24,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Moderate,black-metal,key_scale_D
Behemoth,Ov My Herculean Exile,Ov My Herculean Exile,39,283791,0.411,0.937,4,-5.001,0.0571,1.94e-05,0.0245,0.153,0.225,110.972,3,4.73,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Moderate,black-metal,key_scale_E
EXNUN,Decomposition of an Infant Soul,Rape of God,17,392656,0.392,0.932,1,-4.47,0.0708,2.48e-06,0.728,0.317,0.356,117.961,4,6.54,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Moderate,black-metal,key_scale_C#
Mortuary Drape,Tolling 13 Knell,Dreadful Discovery,16,239933,0.255,0.982,8,-4.369,0.164,0.00013,0.1,0.361,0.0424,97.61,4,4.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Moderate,black-metal,key_scale_G#
Vermilia,Kätkyt,Vedestä Vieraantunut,17,395066,0.169,0.878,9,-5.34,0.0542,6.37e-06,0.625,0.389,0.306,103.0,4,6.58,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Moderate,black-metal,key_scale_A
Valkyrja,The Antagonist's Fire,Madness Redeemer,17,316869,0.24,0.979,2,-6.965,0.0812,2.1e-06,0.566,0.334,0.0861,135.018,4,5.28,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Fast,black-metal,key_scale_D
Power From Hell,Shadows Devouring Light,Mother of Abominations,16,316973,0.233,0.958,0,-8.827,0.0633,6.69e-06,0.946,0.384,0.0383,160.186,4,5.28,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Fast,black-metal,key_scale_C
Graveworm,As the Angels Reach the Beauty (Remastered),Nocturnal Hymns,16,456266,0.225,0.969,10,-5.162,0.105,5.53e-05,0.724,0.3,0.0663,164.839,3,7.6,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Fast,black-metal,key_scale_A#
Avhath,Hymns,I. Blood Moon Rising,17,137000,0.0665,0.415,0,-4.905,0.167,0.00102,0.901,0.295,0.173,180.463,4,2.28,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Extremely Fast,black-metal,key_scale_C
Odraza,Esperalem Tkane,Wielki Mizogin,17,194821,0.239,0.982,6,-5.466,0.186,0.000128,0.0102,0.729,0.12,159.926,4,3.25,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Fast,black-metal,key_scale_F#
Eternal Helcaraxe,Drown in Ash,Where Dead Things Roam Free,17,339626,0.331,0.838,5,-7.88,0.0557,1.71e-06,0.768,0.093,0.25,119.829,3,5.66,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Moderate,black-metal,key_scale_F
Bewitcher,Cursed Be Thy Kingdom,Cursed Be Thy Kingdom,17,176746,0.295,0.953,4,-5.58,0.0814,2.72e-06,0.000332,0.142,0.645,141.102,4,2.95,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Fast,black-metal,key_scale_E
Conan,Levitation Hoax,Levitation Hoax,18,329674,0.202,0.837,2,-8.207,0.0446,1.75e-05,0.653,0.23,0.38,122.309,4,5.49,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Fast,black-metal,key_scale_D
Avhath,Lethargy / March to the Crater,March to the Crater,17,167963,0.137,0.258,8,-6.12,0.0724,0.0024,0.744,0.106,0.349,139.75,4,2.8,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Fast,black-metal,key_scale_G#
Hypocrisy,Abducted,Paradox,18,272453,0.0749,0.824,11,-7.492,0.088,0.0,0.855,0.106,0.322,80.231,4,4.54,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Moderate,black-metal,key_scale_B
Bewitcher,Under the Witching Cross,Hexenkrieg,18,207838,0.362,0.994,7,-4.534,0.181,4.77e-05,0.0,0.337,0.163,136.465,4,3.46,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Fast,black-metal,key_scale_G
Woods Of Ypres,Against The Seasons: Cold Winter Songs From The Dead Summer Heat,The Shams Of Optimism,17,182573,0.119,0.968,1,-4.299,0.374,1.36e-05,0.966,0.33,0.0374,171.644,3,3.04,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Fast,black-metal,key_scale_C#
Devil Master,Ecstasies Of Never Ending Night,Precious Blood of Christ Rebuked,18,286466,0.206,0.942,3,-7.241,0.0775,4.75e-06,0.909,0.485,0.243,92.023,4,4.77,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Moderate,black-metal,key_scale_D#
Wormwood,Arkivet,The Gentle Touch of Humanity,16,546621,0.299,0.855,9,-7.425,0.0987,0.0186,0.00516,0.0526,0.132,126.898,4,9.11,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Fast,black-metal,key_scale_A
Kvaen;Pierre Törnkvist,The Funeral Pyre,Yee Naaldlooshii,16,273261,0.345,0.593,5,-6.686,0.0544,2.99e-05,0.955,0.556,0.182,99.929,4,4.55,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Moderate,black-metal,key_scale_F
Dold Vorde Ens Navn,Mørkere,Jeg vil ha det mørkere,17,274160,0.338,0.932,9,-8.347,0.0817,1.69e-05,0.0359,0.141,0.131,159.974,4,4.57,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Fast,black-metal,key_scale_A
Furia,Martwa Polska Jesień,Krew w kolorze bursztynu,17,375400,0.149,0.988,0,-3.231,0.138,6.99e-06,0.776,0.153,0.0654,100.605,3,6.26,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Moderate,black-metal,key_scale_C
Desaster,The Arts of Destruction,Phantom Funeral,17,312240,0.116,0.994,8,-4.908,0.167,6e-06,0.0255,0.416,0.0383,163.551,4,5.2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Fast,black-metal,key_scale_G#
Belphegor,The Last Supper (Remastered 2021),The Last Supper - Remastered 2021,16,237826,0.099,0.974,8,-3.688,0.0931,3.77e-06,0.843,0.0547,0.147,166.572,4,3.96,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Fast,black-metal,key_scale_G#
Abbath,Abbath,Eternal,16,276944,0.467,0.969,1,-6.543,0.0836,2.67e-06,0.654,0.148,0.247,109.0,4,4.62,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Moderate,black-metal,key_scale_C#
Opera IX,The Black Opera,The First Seal,16,579360,0.192,0.875,6,-5.088,0.0557,2.57e-05,0.776,0.108,0.128,128.669,4,9.66,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Fast,black-metal,key_scale_F#
Dimmu Borgir,Alive in Torment (Live),Puritania - Live,16,186506,0.147,0.991,5,-2.818,0.287,0.000123,0.551,0.91,0.0863,83.017,4,3.11,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Moderate,black-metal,key_scale_F
Hypocrisy,End of Disclosure,When Death Calls,18,234117,0.111,0.898,2,-5.316,0.097,8.42e-06,0.309,0.332,0.0701,168.273,4,3.9,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Fast,black-metal,key_scale_D
Kvaen;Pierre Törnkvist,The Funeral Pyre,Septem Peccata Mortalia,17,254095,0.39,0.847,4,-7.669,0.0497,0.00331,0.981,0.271,0.349,100.033,4,4.23,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Moderate,black-metal,key_scale_E
Hypocrisy,The Final Chapter,Inquire Within,18,347466,0.346,0.9,11,-7.899,0.0451,9.17e-06,0.692,0.12,0.248,140.11,4,5.79,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Fast,black-metal,key_scale_B
Portrayal of Guilt,Let Pain Be Your Guide,A Burden,17,109293,0.227,0.991,1,-4.537,0.154,2.3e-05,0.00458,0.058,0.117,91.042,4,1.82,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Moderate,black-metal,key_scale_C#
Anaal Nathrakh,The Whole of the Law,The Nameless Dread,17,71375,0.206,0.613,3,-7.119,0.0463,0.899,0.748,0.309,0.0781,82.459,4,1.19,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Moderate,black-metal,key_scale_D#
Entombed,Uprising,Scottish Hell,17,182253,0.22,0.874,7,-4.389,0.0583,3.74e-06,0.836,0.14,0.211,107.561,4,3.04,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Moderate,black-metal,key_scale_G
Kvelertak,Kvelertak,Fossegrim - BBC Sessions 2010,18,203057,0.269,0.922,7,-3.872,0.0773,2.14e-05,0.0134,0.0765,0.368,159.878,4,3.38,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Fast,black-metal,key_scale_G
Anaal Nathrakh,Vanitas,The Blood-Dimmed Tide,16,200920,0.292,0.67,6,-2.811,0.133,3.66e-05,0.315,0.326,0.0972,129.871,4,3.35,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Fast,black-metal,key_scale_F#
Anaal Nathrakh,The Whole of the Law,And You Will Beg for Our Secrets,17,200687,0.229,0.413,5,-3.835,0.0892,1.18e-06,0.904,0.0644,0.0777,119.816,3,3.34,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Moderate,black-metal,key_scale_F
Hypocrisy,Abducted,Slippin' Away,40,312933,0.364,0.565,7,-8.793,0.0315,0.0005,0.289,0.254,0.0583,121.285,4,5.22,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Fast,black-metal,key_scale_G
Fleshgod Apocalypse,King,The Fool,44,246373,0.469,0.99,6,-4.266,0.132,0.000178,0.00183,0.143,0.158,114.972,4,4.11,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Moderate,black-metal,key_scale_F#
Psychonaut 4,Beautyfall,"Sana Sana Sana, Cura Cura Cura",37,504484,0.226,0.683,2,-7.47,0.0419,0.000125,0.00143,0.0863,0.0421,139.989,4,8.41,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Fast,black-metal,key_scale_D
Sabhankra,Powercraft,Powercraft,17,257013,0.51,0.985,11,-7.518,0.107,0.00179,0.212,0.213,0.295,100.003,4,4.28,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Moderate,black-metal,key_scale_B
Kampfar,Mellom Skogkledde Aaser,Valdogg,15,526933,0.235,0.998,9,-6.489,0.139,0.00334,0.094,0.34,0.0256,122.277,4,8.78,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Fast,black-metal,key_scale_A
Astronoid,Air,Trail of Sulfur,16,446613,0.361,0.966,7,-7.713,0.132,6.66e-06,0.827,0.293,0.117,161.018,4,7.44,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Fast,black-metal,key_scale_G
Astronoid,Astronoid,Water,16,333733,0.35,0.953,5,-7.106,0.0609,1.32e-05,0.185,0.346,0.314,158.012,4,5.56,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Fast,black-metal,key_scale_F
Hulder,Godslastering: Hymns of a Forlorn Peasantry,De Dijle,17,392577,0.225,0.25,3,-14.85,0.0385,0.921,0.971,0.382,0.0395,124.915,4,6.54,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Fast,black-metal,key_scale_D#
Astronoid,Astronoid,Fault,17,334000,0.379,0.93,0,-8.233,0.102,0.000124,0.208,0.0771,0.0396,155.01,4,5.57,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Fast,black-metal,key_scale_C
Fleshgod Apocalypse,Agony,The Violation,44,258866,0.384,0.991,7,-1.457,0.0878,0.00356,0.845,0.527,0.0299,134.913,4,4.31,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Fast,black-metal,key_scale_G
Psychonaut 4,Dipsomania,Beware the Silence,36,310986,0.539,0.757,4,-6.398,0.0499,0.0047,0.0005,0.0926,0.147,124.982,4,5.18,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Fast,black-metal,key_scale_E
Arckanum,ÞÞÞÞÞÞÞÞÞÞÞ,Þann Svartís,16,246826,0.234,0.929,0,-3.059,0.0818,0.0,0.933,0.272,0.1,155.577,4,4.11,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Fast,black-metal,key_scale_C
Tersivel,For One Pagan Brotherhood,Cruzat Beer House Song,16,241951,0.419,0.877,7,-5.468,0.102,0.0285,0.00088,0.712,0.397,170.025,4,4.03,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Fast,black-metal,key_scale_G
Gehenna,First Spell,Midvinter Forest,16,202213,0.228,0.911,1,-8.409,0.169,0.175,0.873,0.4,0.121,127.168,4,3.37,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Fast,black-metal,key_scale_C#
Skyforger,Kurbads,The Devil Slayer,16,305213,0.468,0.997,11,-4.756,0.172,3.88e-06,0.696,0.154,0.0389,150.006,4,5.09,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Fast,black-metal,key_scale_B
Winterfylleth,The Hallowing Of Heirdom,The Hallowing Of Heirdom,17,442200,0.304,0.228,7,-13.441,0.0332,0.886,0.943,0.3,0.0768,109.955,3,7.37,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Moderate,black-metal,key_scale_G
Mephorash,Shem Ha Mephorash,Relics of Elohim,16,391338,0.335,0.716,1,-10.513,0.046,0.000129,0.303,0.32,0.0624,129.932,4,6.52,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Fast,black-metal,key_scale_C#
Sarastus,Enter The Necropolis,Witness The Earth Descend,16,267000,0.259,0.948,0,-7.112,0.0498,3.2e-06,0.289,0.232,0.26,160.021,3,4.45,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Fast,black-metal,key_scale_C
Khold,Morke Gravers Kammer,Død,15,229120,0.422,0.884,6,-4.34,0.0379,1.11e-05,0.0,0.232,0.463,136.032,4,3.82,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Fast,black-metal,key_scale_F#
Mystifier,Goetia,The Sign Of The Unholy Cross,16,420373,0.247,0.687,7,-18.731,0.0811,1.68e-05,0.27,0.0592,0.162,133.963,4,7.01,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Fast,black-metal,key_scale_G
Rose Funeral,Crucify Kill Rot,Gods Hideous Creation,17,208281,0.336,0.982,1,-5.683,0.186,4.16e-05,0.477,0.795,0.0794,134.528,4,3.47,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Fast,black-metal,key_scale_C#
